A层字段(协议声称),B层已解析(绿色=是),C层已下传(绿色=是)
滚转角 roll(IMU四元数),GREEN,GREEN
俯仰角 pitch(IMU四元数),GREEN,GREEN
偏航角 yaw(IMU四元数),GREEN,GREEN
滚转角速度 roll_rate,GREEN,
俯仰角速度 pitch_rate,GREEN,
偏航角速度 yaw_rate,GREEN,
纬度 lat,GREEN,GREEN
经度 lon,GREEN,GREEN
海拔 alt_amsl,GREEN,
相对起飞高度 alt_rel,GREEN,GREEN
航向角 heading(VfrHud),GREEN,GREEN
本地位置 x(北向),,
本地位置 y(东向),,
北向速度 vx,GREEN,GREEN
东向速度 vy,GREEN,GREEN
垂向速度 vz,GREEN,GREEN
飞行模式 flight_mode,GREEN,GREEN
解锁状态 armed,GREEN,GREEN
着陆状态 landed_state,GREEN,
空速 airspeed(VfrHud),GREEN,GREEN
地速 groundspeed(VfrHud),GREEN,GREEN
爬升率 climb_rate(VfrHud),GREEN,GREEN
油门 throttle(VfrHud),GREEN,GREEN
真空速 true_airspeed,GREEN,GREEN
系统状态码 system_status,,
电机输出 motor_outputs[8](ActuatorControl),GREEN,
电池电压 battery_voltage,GREEN,GREEN
电池电流 battery_current,GREEN,
剩余电量 battery_remaining,GREEN,GREEN
